datetime,count
2011-01-20 0:00,94
2011-01-20 1:00,77
2011-01-20 2:00,77
2011-01-20 3:00,77
2011-01-20 4:00,77
2011-01-20 5:00,77
2011-01-20 6:00,77
2011-01-20 7:00,77
2011-01-20 8:00,94
2011-01-20 9:00,51
2011-01-20 10:00,94
2011-01-20 11:00,101
2011-01-20 12:00,102
2011-01-20 13:00,117
2011-01-20 14:00,117
2011-01-20 15:00,101
2011-01-20 16:00,108
2011-01-20 17:00,108
2011-01-20 18:00,51
2011-01-20 19:00,94
2011-01-20 20:00,103
2011-01-20 21:00,103
2011-01-20 22:00,81
2011-01-20 23:00,81
2011-01-21 0:00,81
2011-01-21 1:00,81
2011-01-21 2:00,59
2011-01-21 3:00,22
2011-01-21 4:00,92
2011-01-21 5:00,94
2011-01-21 6:00,94
2011-01-21 7:00,94
2011-01-21 8:00,94
2011-01-21 9:00,94
2011-01-21 10:00,94
2011-01-21 11:00,94
2011-01-21 12:00,94
2011-01-21 13:00,94
2011-01-21 14:00,94
2011-01-21 15:00,94
2011-01-21 16:00,94
2011-01-21 17:00,94
2011-01-21 18:00,94
2011-01-21 19:00,94
2011-01-21 20:00,94
2011-01-21 21:00,94
2011-01-21 22:00,94
2011-01-21 23:00,94
2011-01-22 0:00,108
2011-01-22 1:00,65
2011-01-22 2:00,65
2011-01-22 3:00,65
2011-01-22 4:00,65
2011-01-22 6:00,94
2011-01-22 7:00,108
2011-01-22 8:00,108
2011-01-22 9:00,108
2011-01-22 10:00,94
2011-01-22 11:00,27
2011-01-22 12:00,27
2011-01-22 13:00,52
2011-01-22 14:00,73
2011-01-22 15:00,52
2011-01-22 16:00,114
2011-01-22 17:00,52
2011-01-22 18:00,114
2011-01-22 19:00,73
2011-01-22 20:00,114
2011-01-22 21:00,52
2011-01-22 22:00,36
2011-01-22 23:00,66
2011-01-23 0:00,66
2011-01-23 1:00,66
2011-01-23 2:00,66
2011-01-23 3:00,66
2011-01-23 5:00,65
2011-01-23 6:00,65
2011-01-23 7:00,78
2011-01-23 8:00,78
2011-01-23 9:00,68
2011-01-23 10:00,108
2011-01-23 11:00,114
2011-01-23 12:00,108
2011-01-23 13:00,108
2011-01-23 14:00,108
2011-01-23 15:00,108
2011-01-23 16:00,108
2011-01-23 17:00,108
2011-01-23 18:00,108
2011-01-23 19:00,108
2011-01-23 20:00,108
2011-01-23 21:00,114
2011-01-23 22:00,114
2011-01-23 23:00,114
2011-01-24 0:00,99
2011-01-24 1:00,99
2011-01-24 3:00,94
2011-01-24 4:00,118
2011-01-24 5:00,118
2011-01-24 6:00,83
2011-01-24 7:00,83
2011-01-24 8:00,77
2011-01-24 9:00,83
2011-01-24 10:00,83
2011-01-24 11:00,118
2011-01-24 12:00,101
2011-01-24 13:00,101
2011-01-24 14:00,101
2011-01-24 15:00,99
2011-01-24 16:00,94
2011-01-24 17:00,94
2011-01-24 18:00,77
2011-01-24 19:00,77
2011-01-24 20:00,77
2011-01-24 21:00,77
2011-01-24 22:00,51
2011-01-24 23:00,103
2011-01-25 0:00,81
2011-01-25 1:00,103
2011-01-25 2:00,99
2011-01-25 4:00,74
2011-01-25 5:00,99
2011-01-25 6:00,74
2011-01-25 7:00,99
2011-01-25 8:00,76
2011-01-25 9:00,97
2011-01-25 10:00,108
2011-01-25 11:00,108
2011-01-25 12:00,97
2011-01-25 13:00,108
2011-01-25 14:00,102
2011-01-25 15:00,102
2011-01-25 16:00,102
2011-01-25 17:00,196
2011-01-25 18:00,97
2011-01-25 19:00,103
2011-01-25 20:00,99
2011-01-25 21:00,99
2011-01-25 22:00,77
2011-01-25 23:00,51
2011-01-26 0:00,76
2011-01-26 1:00,76
2011-01-26 2:00,59
2011-01-26 5:00,38
2011-01-26 6:00,38
2011-01-26 7:00,38
2011-01-26 8:00,38
2011-01-26 9:00,38
2011-01-26 10:00,38
2011-01-26 11:00,38
2011-01-26 12:00,38
2011-01-26 13:00,38
2011-01-26 14:00,38
2011-01-26 15:00,38
2011-01-26 16:00,84
2011-01-26 17:00,38
2011-01-27 16:00,77
2011-01-27 17:00,86
2011-01-27 18:00,41
2011-01-27 19:00,41
2011-01-27 20:00,41
2011-01-27 21:00,41
2011-01-27 22:00,41
2011-01-27 23:00,99
2011-01-28 0:00,76
2011-01-28 1:00,76
2011-01-28 2:00,103
2011-01-28 3:00,76
2011-01-28 5:00,76
2011-01-28 6:00,76
2011-01-28 7:00,92
2011-01-28 8:00,92
2011-01-28 9:00,70
2011-01-28 10:00,50
2011-01-28 11:00,50
2011-01-28 12:00,50
2011-01-28 13:00,50
2011-01-28 14:00,30
2011-01-28 15:00,92
2011-01-28 16:00,41
2011-01-28 17:00,74
2011-01-28 18:00,99
2011-01-28 19:00,76
2011-01-28 20:00,103
2011-01-28 21:00,76
2011-01-28 22:00,100
2011-01-28 23:00,77
2011-01-29 0:00,68
2011-01-29 1:00,78
2011-01-29 2:00,78
2011-01-29 3:00,66
2011-01-29 4:00,38
2011-01-29 6:00,66
2011-01-29 7:00,66
2011-01-29 8:00,78
2011-01-29 9:00,36
2011-01-29 10:00,65
2011-01-29 11:00,65
2011-01-29 12:00,116
2011-01-29 13:00,116
2011-01-29 14:00,65
2011-01-29 15:00,14
2011-01-29 16:00,78
2011-01-29 17:00,36
2011-01-29 18:00,38
2011-01-29 19:00,77
2011-01-29 20:00,25
2011-01-29 21:00,25
2011-01-29 22:00,25
2011-01-29 23:00,25
2011-01-30 0:00,38
2011-01-30 1:00,25
2011-01-30 2:00,25
2011-01-30 3:00,26
2011-01-30 4:00,26
2011-01-30 5:00,26
2011-01-30 7:00,26
2011-01-30 8:00,78
2011-01-30 9:00,105
2011-01-30 10:00,105
2011-01-30 11:00,25
2011-01-30 12:00,66
2011-01-30 13:00,66
2011-01-30 14:00,36
2011-01-30 15:00,62
2011-01-30 16:00,62
2011-01-30 17:00,78
2011-01-30 18:00,32
2011-01-30 19:00,32
2011-01-30 20:00,19
2011-01-30 21:00,202
2011-01-30 22:00,202
2011-01-30 23:00,77
2011-01-31 0:00,103
2011-01-31 1:00,94
2011-01-31 2:00,77
2011-01-31 3:00,77
2011-01-31 4:00,77
2011-01-31 5:00,94
2011-01-31 6:00,100
2011-01-31 7:00,103
2011-01-31 8:00,103
2011-01-31 9:00,103
2011-01-31 10:00,51
